rid,city,candidate,gender,party,votes,total,won,year,position
BARMM,TAWI-TAWI,"ABDULLAH, AHANG A.",0,PMP,2272,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ABDULMOBIN, AYNAL A.",0,IND KBL,2625,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ABDURAHMAN, NAZIF AHMAD B.",0,INDEPENDENT,5542,85238,1,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"AGGA, ROLLY M.",0,KBL,795,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ALEGADO, MARIO H.",0,INDEPENDENT,4361,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ALIBASA, AYUB S.",0,KBL,1670,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ASIH, MAMMAH T.",0,NPC,3026,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"CHEONG, ASHER A.",0,INDEPENDENT,2243,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"DAWILA, ABUBAKAR I.",0,LDP,7082,85238,1,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"HERRERA, AUGUSTUS SR. J",0,NPC,3395,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"JAMALUL, HASHIM T.",0,INDEPENDENT,8044,85238,1,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"KALBIT, YUSOP T.",0,KBL,2389,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"LAKIAN, ALAN-NUR T.",0,PMP,1646,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"LIM, ROLANDO E.",0,LAKAS TAO-NUCD,4410,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MAHEYA, NADDUHA HJ",0,LAKAS EDSA COAL,4194,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MALI, SIDDIQUE S.",0,NPC,3932,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MASTUL, YUSOP S.",0,LDP,4063,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MOHAMMAD, ALIH YUSOP U.",0,PMP,1418,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MOHAMMAD, YUSOP PAJIJI H.",0,INDEPENDENT,2147,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MUSTAPHA, SALEH H.",0,IPP,2903,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"NURRUDIN, JUL-MUHAMMAD J",0,INDEPENDENT,3923,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"SALI, SANTA A.",0,LDP,3875,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"TIAGO, MADJID S.",0,KBL,262,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"UMADHAY, EDGARDO S.",0,INDEPENDENT,2447,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"USMAN, HADJI SIRADZ H.",0,IND/LAKAS-EDSA-NUCD,3241,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"YAHIHA, ALLIAN T.",0,LP,3333,85238,0,1992,1st District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ALONZO, FAHMY",0,KBL,1051,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"ASKALANI, JAWAK A.",0,INDEPENDENT,1324,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"JACKARIA, JALAS J",0,PMP,1889,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"JAMASALI, JUSTITA D.",0,NPC,3015,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"JUAINI, ABDURAJAD S.",0,NPC,2379,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"JUHAILI, ABDULMAJID T.",0,LDP,8314,56461,1,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"LIM, HOCKING A.",0,LAKAS TAO-NUCD-UMDP,2643,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MATBA, HADJA JUBAIDA H.",0,LDP,15582,56461,1,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MAULANA, MOH MAULANO L.",0,IND-LP,0,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MOHAMMAD, ALI HJ AL-RASHID -",0,KBL,1007,56461,0,1992,2nd District Sangguniang Panlalawigan
BARMM,TAWI-TAWI,"MOHAMMAD, ISNAIRA J",0,IND LAKAS-EDSA,190,56461,0,1992,2nd District Sangguniang Panlalawigan
